model,building_category,MAE,RMSE,MAPE,R2
Lasso,Kdg,3.7428200000000005,4.84504,68.17936,0.73238
Lasso,Nsh,6.4822,8.520328571428571,9.751457142857143,0.8919285714285714
Lasso,Off,7.285399999999999,9.8775,24.640549999999998,0.85195
Lasso,Sch,12.56474,18.944673333333334,24.33842,0.8489066666666666
LightGBM,Kdg,1.642305,2.415975,21.926885,0.9428300000000001
LightGBM,Off,3.88855,5.35925,12.167449999999999,0.9558
LightGBM,Nsh,4.790442857142857,6.4044,7.274857142857143,0.9373714285714286
LightGBM,Sch,6.752846666666667,10.769333333333332,12.767406666666666,0.9502333333333334
LightGBM_Quantile,Kdg,1.4624700000000002,2.239395,17.122275,0.9510350000000001
LightGBM_Quantile,Off,4.0028,5.80855,11.63365,0.9486
LightGBM_Quantile,Nsh,4.832314285714285,6.495114285714286,7.213342857142857,0.9358285714285713
LightGBM_Quantile,Sch,6.983346666666666,11.579666666666666,12.32264,0.9438533333333333
Mean Baseline,Kdg,8.66464,10.8842,164.086265,-0.07362
Mean Baseline,Off,20.535400000000003,25.8692,86.07015,-0.02485
Mean Baseline,Nsh,24.103014285714288,28.50207142857143,39.898900000000005,-0.04207142857142857
Mean Baseline,Sch,40.28411333333334,51.57642,128.05599333333333,-0.08464666666666668
Naive,Nsh,25.91857142857143,32.143,40.686699999999995,-0.3132142857142857
Naive,Off,31.02365,34.5239,182.63845,-0.94415
Naive,Sch,44.31371333333333,55.88344666666667,152.86720666666668,-0.51702
Naive,Kdg,51.71842,52.904165,1189.253705,-36.620585
RandomForest,Kdg,1.66706,2.52582,19.3781,0.93841
RandomForest,Off,3.9642,5.61745,11.6342,0.9504999999999999
RandomForest,Nsh,5.447028571428571,7.315971428571428,8.125214285714286,0.9211
RandomForest,Sch,7.476100000000001,12.121926666666667,13.7781,0.9377800000000001
Ridge,Kdg,3.7673049999999995,4.877190000000001,68.63222999999999,0.7281
Ridge,Nsh,6.483242857142857,8.52067142857143,9.751042857142858,0.8918571428571429
Ridge,Off,7.2947500000000005,9.8813,24.7155,0.8518
Ridge,Sch,12.56508,18.922026666666667,24.3968,0.8491733333333333
Seasonal Naive (24 h),Kdg,13.945070000000001,17.451675,116.31999499999999,-1.8912600000000002
Seasonal Naive (24 h),Off,43.069649999999996,49.9157,101.46395,-2.7818
Seasonal Naive (24 h),Sch,68.64096666666666,84.61857333333334,100.7329,-1.9544533333333334
Seasonal Naive (24 h),Nsh,72.89915714285715,77.97937142857143,99.27357142857143,-7.425257142857142
XGBoost,Kdg,1.7383099999999998,2.616825,22.86479,0.933095
XGBoost,Off,4.2082999999999995,5.8801000000000005,12.80445,0.9471
XGBoost,Nsh,4.863842857142857,6.5224,7.353385714285714,0.9350142857142857
XGBoost,Sch,6.90574,10.944346666666666,13.066773333333334,0.9482
