,p50_kwh,solar_wh_m2,temperature
2026-04-20 21:00:00+01:00,0.41692381758077324,0.0,7.1
2026-04-20 22:00:00+01:00,0.40874500212999954,0.0,6.5
2026-04-20 23:00:00+01:00,0.3589751948031051,0.0,6.0
2026-04-21 00:00:00+01:00,0.2472247535293293,0.0,5.4
2026-04-21 01:00:00+01:00,0.19072177963632675,0.0,4.9
2026-04-21 02:00:00+01:00,0.15564019866581888,0.0,5.0
2026-04-21 03:00:00+01:00,0.17555376741402204,0.0,5.1
2026-04-21 04:00:00+01:00,0.18477579839845773,0.0,7.4
2026-04-21 05:00:00+01:00,0.18477579839845773,0.0,8.2
2026-04-21 06:00:00+01:00,0.19383634748360015,0.0,8.3
2026-04-21 07:00:00+01:00,0.6672428632429769,6.0,7.7
2026-04-21 08:00:00+01:00,0.24868215853600464,102.0,8.0
2026-04-21 09:00:00+01:00,0.29130053882199597,252.0,8.5
2026-04-21 10:00:00+01:00,0.2797434639552513,327.0,9.2
2026-04-21 11:00:00+01:00,0.31303771020134386,335.0,9.7
2026-04-21 12:00:00+01:00,0.3156185817826282,240.0,9.7
2026-04-21 13:00:00+01:00,0.33585254924109686,234.0,9.7
2026-04-21 14:00:00+01:00,0.27644550586289995,519.0,10.6
2026-04-21 15:00:00+01:00,0.2737411644180285,669.0,11.5
2026-04-21 16:00:00+01:00,0.2603141194243662,609.0,12.1
2026-04-21 17:00:00+01:00,0.25063764945002176,530.0,12.3
2026-04-21 18:00:00+01:00,0.278671610123522,384.0,12.2
2026-04-21 19:00:00+01:00,0.3260002745837376,227.0,11.5
2026-04-21 20:00:00+01:00,0.366560211984871,70.0,10.6
