building_id,n,winkler_score,coverage_rate,mean_pi_width,p50_mae
8091,20279,22.5441,0.8118,20.915,5.6483
8092,20279,14.5218,0.8604,13.3193,3.8813
8095,20279,15.9014,0.8175,14.1861,4.2639
8096,20280,13.8409,0.7989,12.243,3.6789
8097,20279,40.3164,0.7206,33.6601,11.9171
8098,20280,47.3814,0.8341,43.64,12.0372
8099,27530,47.8465,0.8107,42.7767,13.8323
8100,20279,26.3497,0.8012,23.4257,7.6848
8101,20290,51.6417,0.7784,44.6403,15.2335
8102,20279,41.4943,0.7948,36.8285,11.8976
8103,20279,14.3649,0.771,12.4347,4.2402
8104,20290,12.5977,0.8055,11.1465,3.3842
8105,20279,18.243,0.8019,16.5967,4.9436
8106,20279,10.2729,0.8083,9.0815,2.9547
8107,20279,16.2038,0.7745,14.0612,4.5799
8108,20279,18.3091,0.7858,15.9502,5.3625
8109,20279,28.2398,0.8187,25.9157,7.5186
8110,20280,19.493,0.7743,17.5198,5.4274
8112,20291,48.9846,0.8215,43.4456,13.4146
8113,8088,14.9432,0.7786,12.8469,4.1886
8114,20290,43.1248,0.8519,39.7609,11.0246
8115,20279,36.5693,0.7752,31.556,11.1675
8116,20280,9.4826,0.78,8.6913,2.2696
8117,20279,22.1689,0.8138,19.9249,6.0478
8118,20280,56.6314,0.7693,47.565,17.3924
8119,20279,10.2947,0.7898,9.0776,2.662
8121,20287,8.9905,0.7782,8.1414,2.5895
8122,20292,13.6872,0.7764,12.1944,3.9058
8123,20279,52.4211,0.8059,48.2088,14.2788
8126,20288,21.1092,0.7976,18.5828,6.016
8127,20279,39.0706,0.7773,34.0051,11.1755
8128,20290,17.2906,0.8053,15.6836,4.7807
8129,20616,20.8327,0.7863,18.4291,6.1345
8130,20279,23.1002,0.8136,21.2175,5.9061
8131,20279,9.3484,0.8346,8.7951,2.1419
8132,20280,44.0357,0.8617,41.5779,10.8672
8134,20290,23.5152,0.8155,21.751,6.0036
8135,20376,16.6204,0.7925,14.9628,4.4395
8136,13224,25.1864,0.791,22.0048,7.406
